elapsed_sec,timesteps,steps_per_sec,mean_reward,mean_ep_len,mean_distance
30.0,64048,2135,224.06,105.5,0.945
60.0,127312,2122,325.17,123.9,1.606
90.0,192168,2135,445.56,144.3,2.403
120.0,254128,2118,602.96,179.2,3.383
150.0,319312,2129,728.5,214.4,4.108
180.0,381896,2122,869.89,248.7,4.965
210.1,446472,2125,1045.55,296.0,5.993
240.0,510560,2127,1323.81,374.5,7.594
270.0,573960,2126,1372.47,381.6,7.928
300.4,638984,2127,1412.7,385.4,8.218
330.0,703632,2132,1542.26,415.4,9.016
360.0,767968,2133,1843.99,487.3,10.857
390.0,833120,2136,2297.87,599.5,13.595
420.0,898232,2139,3048.69,786.0,18.116
450.4,962568,2137,3136.28,800.4,18.703
480.0,1027256,2140,3322.21,835.7,19.909
