elapsed_sec,timesteps,steps_per_sec,mean_reward,mean_ep_len,mean_distance
30.0,65960,2199,507.46,234.9,2.179
60.0,132184,2203,1569.69,517.5,8.42
90.0,198000,2200,2858.81,720.5,17.11
120.0,264616,2205,4138.42,792.4,26.767
150.0,329136,2194,5249.78,818.5,35.445
180.0,394504,2192,6138.79,815.4,42.577
210.1,462856,2203,7145.01,834.4,50.47
240.0,531240,2213,7900.04,835.1,56.502
270.2,598024,2213,7657.43,776.6,55.027
300.0,665392,2218,8288.34,818.3,59.739
330.4,733192,2219,8466.73,818.7,61.159
360.0,798872,2219,8073.23,766.3,58.432
