elapsed_sec,timesteps,steps_per_sec,mean_reward,mean_ep_len,mean_distance
30.0,62952,2098,125.77,99.1,0.215
60.0,123984,2066,287.98,129.3,1.265
90.0,185344,2059,447.92,155.0,2.336
120.0,245896,2049,702.94,200.3,4.014
150.2,307208,2045,865.81,223.7,5.127
180.1,368648,2047,1002.12,249.2,6.014
210.2,430088,2046,1110.35,261.9,6.777
240.0,491976,2050,1348.17,289.4,8.458
270.0,555720,2058,1804.71,358.4,11.559
300.4,618504,2059,2125.0,400.2,13.788
330.0,679912,2060,2897.6,524.7,18.977
360.0,741016,2058,3875.69,670.1,25.642
390.0,803136,2059,3990.82,680.4,26.481
420.0,867016,2064,4282.94,717.8,28.521
450.0,929320,2065,4768.87,775.6,31.946
480.0,989936,2062,5086.03,813.3,34.183
510.4,1052680,2062,4788.23,766.2,32.176
540.0,1113688,2062,4872.76,764.3,32.867
570.0,1175120,2062,5225.29,806.1,35.355
600.0,1235968,2060,5559.18,851.3,37.664
