elapsed_sec,timesteps,steps_per_sec,mean_reward,mean_ep_len,mean_distance
30.0,65504,2183,273.56,208.3,0.53
60.0,126984,2115,303.56,164.7,1.111
90.0,190792,2120,375.91,172.4,1.628
120.0,254256,2119,412.99,158.3,2.033
150.0,316480,2110,465.3,164.5,2.401
180.0,380864,2116,549.65,177.4,2.971
210.0,443856,2114,730.03,212.9,4.129
240.0,507144,2113,1213.85,319.3,7.149
270.0,573136,2123,2094.86,528.9,12.528
300.3,638984,2128,2899.0,729.2,17.367
330.0,702896,2130,2621.53,627.1,15.958
360.0,767040,2131,3021.32,695.4,18.612
390.0,831792,2133,3158.35,712.8,19.569
420.0,897456,2137,2873.4,640.9,17.862
450.0,961360,2136,3556.86,774.8,22.261
480.4,1024008,2131,3884.43,833.9,24.41
510.0,1088728,2135,3689.81,779.7,23.284
540.2,1150984,2130,3652.78,767.0,23.089
570.0,1204128,2112,3923.61,817.1,24.855
600.0,1265104,2109,3866.95,800.3,24.535
